variant_id,open_hour,trade_count,net_profit,gross_profit,swap,commission,expectancy,win_count,loss_count,win_rate_percent,profit_factor_gross,avg_hold_minutes,claim_boundary
cd02_ca01_clone_current_session,19,135,37.41,37.41,0.0,0.0,0.277111,73,62,54.074074,1.11613,35.148148,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,20,125,173.32,173.38,-0.06,0.0,1.38656,64,61,51.2,1.639,44.72,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,21,84,293.79,298.03,-4.24,0.0,3.4975,43,41,51.190476,2.255656,794.583333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd02_ca01_clone_current_session,22,12,188.97,189.81,-0.84,0.0,15.7475,9,3,75.0,8.925261,1380.416667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,16,129,29.87,29.87,0.0,0.0,0.23155,70,59,54.263566,1.069198,30.930233,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,17,293,179.44,179.44,0.0,0.0,0.612423,156,137,53.242321,1.260043,31.75967,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,18,224,53.6,53.6,0.0,0.0,0.239286,116,108,51.785714,1.101754,32.277009,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,19,135,37.41,37.41,0.0,0.0,0.277111,73,62,54.074074,1.11613,35.148148,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,20,125,173.32,173.38,-0.06,0.0,1.38656,64,61,51.2,1.639,44.72,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,21,84,293.79,298.03,-4.24,0.0,3.4975,43,41,51.190476,2.255656,794.583333,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
cd03_native_short_same_calendar_current_session,22,12,188.97,189.81,-0.84,0.0,15.7475,9,3,75.0,8.925261,1380.416667,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
