run_id,candidate_id,open_month,open_month_num,trade_count,net_profit,profit_factor,short_trade_count,month_status,claim_boundary
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj06_quarter_q3_pressure_overlay_soft_guard,2026-02,2,90,166.81,1.8108829668,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj06_quarter_q3_pressure_overlay_soft_guard,2026-03,3,4,8.34,23.5405405405,4,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj06_quarter_q3_pressure_overlay_soft_guard,2026-04,4,46,23.29,1.2319721116,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-01,1,87,68.31,1.3071368449,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-02,2,73,77.35,1.4494504236,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-03,3,7,9.24,1.7380191693,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-04,4,120,218.63,1.458893934,15,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-05,5,75,51.45,1.3389488747,5,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-06,6,67,58.3,1.5210024079,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-07,7,35,4.71,1.0645549318,2,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-08,8,47,-1.43,0.98857093,4,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-09,9,51,34.34,1.353037431,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-10,10,77,43.04,1.2232350961,6,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-11,11,83,241.92,2.2262596654,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2025-12,12,59,-0.62,0.9961409187,6,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2026-01,1,82,30.64,1.1690249408,6,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2026-02,2,90,166.81,1.8108829668,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2026-03,3,4,8.34,23.5405405405,4,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj08_quarter_q4_pressure_overlay_soft_guard,2026-04,4,46,23.29,1.2319721116,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-01,1,87,68.31,1.3071368449,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-02,2,73,77.35,1.4494504236,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-03,3,7,9.24,1.7380191693,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-04,4,120,218.63,1.458893934,15,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-05,5,75,51.45,1.3389488747,5,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-06,6,67,58.3,1.5210024079,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-07,7,35,4.71,1.0645549318,2,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-08,8,47,-1.43,0.98857093,4,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-09,9,51,34.34,1.353037431,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-10,10,77,43.04,1.2232350961,6,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-11,11,83,241.92,2.2262596654,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2025-12,12,59,-0.62,0.9961409187,6,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2026-01,1,82,30.64,1.1690249408,6,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2026-02,2,90,166.81,1.8108829668,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2026-03,3,4,8.34,23.5405405405,4,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj13_combined_h17_month_cost_guard,2026-04,4,46,23.29,1.2319721116,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-01,1,88,64.7,1.2865614372,8,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-02,2,72,67.96,1.3887514061,11,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-03,3,8,8.71,1.6674329502,8,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-04,4,120,218.63,1.458893934,15,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-05,5,75,51.45,1.3389488747,5,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-06,6,67,58.3,1.5210024079,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-07,7,34,11.67,1.1737400531,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-08,8,45,11.59,1.1152559055,2,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-09,9,51,34.34,1.353037431,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-10,10,78,32.14,1.1578663529,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-11,11,83,241.92,2.2262596654,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2025-12,12,59,-0.62,0.9961409187,6,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2026-01,1,82,30.64,1.1690249408,6,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2026-02,2,91,148.14,1.6604059106,13,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2026-03,3,4,8.34,23.5405405405,4,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj11_cg08_bad_overlay_month_guard_scout_short_floor_rescue,2026-04,4,46,23.29,1.2319721116,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-01,1,87,68.31,1.3071368449,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-02,2,73,77.35,1.4494504236,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-03,3,7,9.24,1.7380191693,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-04,4,120,218.63,1.458893934,15,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-05,5,75,51.45,1.3389488747,5,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-06,6,66,62.31,1.5774139845,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-07,7,35,4.71,1.0645549318,2,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-08,8,47,-1.43,0.98857093,4,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-09,9,51,34.34,1.353037431,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-10,10,78,32.14,1.1578663529,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-11,11,83,241.92,2.2262596654,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2025-12,12,59,-0.62,0.9961409187,6,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2026-01,1,82,30.64,1.1690249408,6,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2026-02,2,90,166.81,1.8108829668,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2026-03,3,4,8.34,23.5405405405,4,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj02_h17_focus_native_hour_cost_firewall_soft,2026-04,4,46,23.29,1.2319721116,0,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-01,1,87,68.31,1.3071368449,7,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-02,2,73,77.35,1.4494504236,12,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-03,3,8,8.71,1.6674329502,8,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-04,4,120,218.63,1.458893934,15,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-05,5,75,51.45,1.3389488747,5,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-06,6,67,58.3,1.5210024079,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-07,7,34,9.62,1.1393219854,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-08,8,47,-1.43,0.98857093,4,bad_month_watch(손실 월 관찰),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,cj03_h17_focus_swap_negative_native_trim,2025-09,9,51,34.34,1.353037431,1,positive_or_neutral(양수 또는 중립),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
