matrix_id,candidate_id,candidate_alias,candidate_role,test_type,test_id,feature_family,features_or_replacements,reason,expected_read,priority,execution_status
s264_aia__abl_trend_strength_direction,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,Checks ADX/trend-strength dependency(ADX/추세 강도 의존성).,Must be paired with similar replacement(유사 대체).,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__abl_session_timing,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,feature_category_ablation(피처 범주 제거),abl_session_timing,session_timing,is_us_cash_open;minutes_from_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;overnight_return,Checks session concentration(세션 집중).,If candidate only works in one session then downgrade breadth(폭).,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__abl_external_macro_risk,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,feature_category_ablation(피처 범주 제거),abl_external_macro_risk,external_macro_risk,vix_change_1;vix_zscore_20;us10yr_change_1;us10yr_zscore_20;usdx_change_1;usdx_zscore_20,Checks macro risk dependency(거시 위험 의존성).,Missing macro context should be recorded as Tier B(티어 B) sensitivity.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__abl_single_stock_breadth_relative,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,feature_category_ablation(피처 범주 제거),abl_single_stock_breadth_relative,single_stock_breadth_relative,nvda_xnas_log_return_1;aapl_xnas_log_return_1;msft_xnas_log_return_1;amzn_xnas_log_return_1;mega8_equal_return_1;top3_weighted_return_1;mega8_pos_breadth_1;mega8_dispersion_5;us100_minus_mega8_equal_return_1;us100_minus_top3_weighted_return_1,Checks constituent/breadth dependency(구성종목/폭 의존성).,If broken then Tier B fallback(티어 B 대체) and missing constituent behavior must be inspected.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,Checks whether ADX(ADX) itself is lucky fit(우연 맞춤) or the broader trend-strength meaning survives.,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,Checks whether ATR(ATR) specific scale is overfit(과적합) or volatility meaning survives.,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__rep_momentum_rsi,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_momentum_rsi,momentum(모멘텀),rsi_14 -> rsi_50;rsi_14_slope_3;rsi_14_minus_50;stoch_kd_diff;stochrsi_kd_diff;ppo_hist_12_26_9;roc_12;trix_15,Checks oscillator family robustness(오실레이터군 견고성).,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__rep_moving_average_spread,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_moving_average_spread,trend_spread(추세 간격),ema20_ema50_diff -> ema9_ema20_diff;ema50_ema200_diff;ema20_ema50_spread_zscore_50;sma50_sma200_ratio,Checks whether one MA spread(이동평균 간격) is doing all work.,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__rep_breadth_proxy,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_breadth_proxy,breadth_relative(시장 폭 상대),mega8_equal_return_1 -> top3_weighted_return_1;mega8_pos_breadth_1;mega8_dispersion_5;us100_minus_mega8_equal_return_1;us100_minus_top3_weighted_return_1,Checks whether breadth meaning(시장 폭 의미) survives alternate baskets(대체 바스켓).,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s264_aia__rep_gate_lowrank,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_gate_lowrank,compressed_gate(압축 게이트),stage_source_feature_rank_bucket -> lowrank_bucket_removed;outer_half_bucket;inner_half_bucket;high_quarter_bucket,Checks if lowrank/inner/high bucket(낮은 순위/안쪽/높은 사분위 구간) is structurally meaningful or stage-local trick(단계 로컬 요령).,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_gate_stage56_signal,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_gate_stage56_signal,stage56_context_signal,stage56_context_et_event_signal,Tests whether later candidates only inherit Stage56(56단계) context signal(문맥 신호).,If removal breaks all candidates then prior research is over-compressed into one gate.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_gate_rank_bucket,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_gate_rank_bucket,source_feature_rank_bucket,stage258/262/264_source_feature_rank_bucket,Tests lowrank/highrank dependency(낮은 순위/높은 순위 의존성).,Stable candidates should not rely only on a rank bucket(순위 구간) trick.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_gate_variant_rule,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_gate_variant_rule,source_feature_gate,stage258/262/264_source_feature_gate_*,Tests whether the named candidate gate(후보 게이트) itself is the whole edge(우위).,If one candidate collapses uniquely then downgrade candidate role.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_price_return_range,price_return_range,log_return_1;log_return_3;hl_range;close_open_ratio;gap_percent;close_prev_close_ratio;return_zscore_20;hl_zscore_50;return_1_over_atr_14,Checks price movement dependency(가격 움직임 의존성).,Candidate should degrade gradually rather than fully collapse.,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_ma_trend,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_ma_trend,moving_average_trend,close_ema20_ratio;close_ema50_ratio;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;ema20_ema50_spread_zscore_50;sma50_sma200_ratio,Checks trend slope/spread dependency(추세 기울기/간격 의존성).,Collapse means trend family(추세군) overfit risk.,P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_oscillator_momentum,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_oscillator_momentum,oscillator_momentum,rsi_14;rsi_50;rsi_14_slope_3;rsi_14_minus_50;stoch_kd_diff;stochrsi_kd_diff;ppo_hist_12_26_9;roc_12;trix_15,Checks oscillator/momentum dependency(오실레이터/모멘텀 의존성).,Useful candidate should retain some shape without one oscillator family.,P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_volatility_bandwidth,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,Checks volatility/risk dependency(변동성/위험 의존성).,Collapse means risk/ATR(위험/ATR) logic may be acting as hidden edge.,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,Checks ADX/trend-strength dependency(ADX/추세 강도 의존성).,Must be paired with similar replacement(유사 대체).,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_session_timing,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_session_timing,session_timing,is_us_cash_open;minutes_from_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;overnight_return,Checks session concentration(세션 집중).,If candidate only works in one session then downgrade breadth(폭).,P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_external_macro_risk,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_external_macro_risk,external_macro_risk,vix_change_1;vix_zscore_20;us10yr_change_1;us10yr_zscore_20;usdx_change_1;usdx_zscore_20,Checks macro risk dependency(거시 위험 의존성).,Missing macro context should be recorded as Tier B(티어 B) sensitivity.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__abl_single_stock_breadth_relative,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_single_stock_breadth_relative,single_stock_breadth_relative,nvda_xnas_log_return_1;aapl_xnas_log_return_1;msft_xnas_log_return_1;amzn_xnas_log_return_1;mega8_equal_return_1;top3_weighted_return_1;mega8_pos_breadth_1;mega8_dispersion_5;us100_minus_mega8_equal_return_1;us100_minus_top3_weighted_return_1,Checks constituent/breadth dependency(구성종목/폭 의존성).,If broken then Tier B fallback(티어 B 대체) and missing constituent behavior must be inspected.,P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__rep_trend_strength_adx,s258_short_tight_control,s258_stc,stress_challenger,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,Checks whether ADX(ADX) itself is lucky fit(우연 맞춤) or the broader trend-strength meaning survives.,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__rep_volatility_atr,s258_short_tight_control,s258_stc,stress_challenger,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,Checks whether ATR(ATR) specific scale is overfit(과적합) or volatility meaning survives.,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P0(우선순위 0),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__rep_momentum_rsi,s258_short_tight_control,s258_stc,stress_challenger,similar_feature_replacement(유사 피처 대체),rep_momentum_rsi,momentum(모멘텀),rsi_14 -> rsi_50;rsi_14_slope_3;rsi_14_minus_50;stoch_kd_diff;stochrsi_kd_diff;ppo_hist_12_26_9;roc_12;trix_15,Checks oscillator family robustness(오실레이터군 견고성).,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__rep_moving_average_spread,s258_short_tight_control,s258_stc,stress_challenger,similar_feature_replacement(유사 피처 대체),rep_moving_average_spread,trend_spread(추세 간격),ema20_ema50_diff -> ema9_ema20_diff;ema50_ema200_diff;ema20_ema50_spread_zscore_50;sma50_sma200_ratio,Checks whether one MA spread(이동평균 간격) is doing all work.,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__rep_breadth_proxy,s258_short_tight_control,s258_stc,stress_challenger,similar_feature_replacement(유사 피처 대체),rep_breadth_proxy,breadth_relative(시장 폭 상대),mega8_equal_return_1 -> top3_weighted_return_1;mega8_pos_breadth_1;mega8_dispersion_5;us100_minus_mega8_equal_return_1;us100_minus_top3_weighted_return_1,Checks whether breadth meaning(시장 폭 의미) survives alternate baskets(대체 바스켓).,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P2(우선순위 2),planned_for_run267N_or_later(267N 이후 계획)
s258_stc__rep_gate_lowrank,s258_short_tight_control,s258_stc,stress_challenger,similar_feature_replacement(유사 피처 대체),rep_gate_lowrank,compressed_gate(압축 게이트),stage_source_feature_rank_bucket -> lowrank_bucket_removed;outer_half_bucket;inner_half_bucket;high_quarter_bucket,Checks if lowrank/inner/high bucket(낮은 순위/안쪽/높은 사분위 구간) is structurally meaningful or stage-local trick(단계 로컬 요령).,candidate_should_degrade_gracefully_not_collapse(후보는 완전히 무너지지 않고 완만히 약화해야 함),P1(우선순위 1),planned_for_run267N_or_later(267N 이후 계획)
