queue_id,source_matrix_id,candidate_id,candidate_alias,candidate_role,test_type,test_id,feature_family,features_or_replacements,transform_type,materialization_boundary,model_materialization_type,source_feature_file,feature_file,feature_sha256,source_model_file,model_file,model_sha256,common_feature_path,common_feature_sha256,common_model_path,common_model_sha256,feature_count,feature_order,feature_order_hash,added_feature,variant_feature_index,rows,changed_rows,context_missing_rows,claim_boundary
run267N_11_s262_lih_abl_ma_trend,s262_lih__abl_ma_trend,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,feature_category_ablation(피처 범주 제거),abl_ma_trend,moving_average_trend,close_ema20_ratio;close_ema50_ratio;ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;ema20_ema50_spread_zscore_50;sma50_sma200_ratio,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_11_s262_lih_abl_ma_trend/features/s262_lih_abl_ma_trend.csv,623f09ae55301baf386fff8ecf99e323ebd4229ecb0b895346bd19d1e050b887,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s262_lih_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_11_s262_lih_abl_ma_trend/models/s262_lih_abl_ma_trend_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_11_s262_lih_abl_ma_trend/features/s262_lih_abl_ma_trend.csv,623f09ae55301baf386fff8ecf99e323ebd4229ecb0b895346bd19d1e050b887,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_11_s262_lih_abl_ma_trend/models/s262_lih_abl_ma_trend_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;stage267n_abl_ma_trend_score,2fec533a0761d674ddfe69e75ba3a3f72ba4a74574ebda2c911f04ef53f11a52,stage267n_abl_ma_trend_score,3,11651,11651,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_12_s262_lih_abl_trend_strength_direction,s262_lih__abl_trend_strength_direction,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_12_s262_lih_abl_trend_strength_direction/features/s262_lih_abl_trend_strength_direction.csv,909ee5bc045dd1136d7519bf4185b02128b909f0726420bde7424ed0cb771eae,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s262_lih_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_12_s262_lih_abl_trend_strength_direction/models/s262_lih_abl_trend_strength_direction_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_12_s262_lih_abl_trend_strength_direction/features/s262_lih_abl_trend_strength_direction.csv,909ee5bc045dd1136d7519bf4185b02128b909f0726420bde7424ed0cb771eae,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_12_s262_lih_abl_trend_strength_direction/models/s262_lih_abl_trend_strength_direction_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;stage267n_abl_trend_strength_direction_score,4ac2d42a4e5704b6a11e909e70dcbc9fdecba0e7cc03c6ff1f1bc4fdbbdcd8b1,stage267n_abl_trend_strength_direction_score,3,11651,11368,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_13_s262_lih_rep_trend_strength_adx,s262_lih__rep_trend_strength_adx,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_13_s262_lih_rep_trend_strength_adx/features/s262_lih_rep_trend_strength_adx.csv,4a1346c534dfeea32974a8f12e62cbfb8a3e402290b33f601e5cc53144e86ee4,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s262_lih_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_13_s262_lih_rep_trend_strength_adx/models/s262_lih_rep_trend_strength_adx_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_13_s262_lih_rep_trend_strength_adx/features/s262_lih_rep_trend_strength_adx.csv,4a1346c534dfeea32974a8f12e62cbfb8a3e402290b33f601e5cc53144e86ee4,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_13_s262_lih_rep_trend_strength_adx/models/s262_lih_rep_trend_strength_adx_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;stage267n_rep_trend_strength_adx_score,caa17801b03611d106d3368b17e56ce7ac564966a6111392d678ac7baf24fb87,stage267n_rep_trend_strength_adx_score,3,11651,11368,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_14_s262_lih_rep_volatility_atr,s262_lih__rep_volatility_atr,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_14_s262_lih_rep_volatility_atr/features/s262_lih_rep_volatility_atr.csv,e6b55db87ddc7d6fe8322dc3b1146b295c0e699be04b49585df3744f11d890f0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s262_lih_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_14_s262_lih_rep_volatility_atr/models/s262_lih_rep_volatility_atr_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_14_s262_lih_rep_volatility_atr/features/s262_lih_rep_volatility_atr.csv,e6b55db87ddc7d6fe8322dc3b1146b295c0e699be04b49585df3744f11d890f0,OPV2/s267n/run267N_p0_ablation_replacement/s262_lih/run267n_14_s262_lih_rep_volatility_atr/models/s262_lih_rep_volatility_atr_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter;stage267n_rep_volatility_atr_score,f01012d2b2134139e80d0f648af5095e22b9a7280f85715249d0117a00d8eb3a,stage267n_rep_volatility_atr_score,3,11651,11622,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_15_s264_aia_abl_volatility_bandwidth,s264_aia__abl_volatility_bandwidth,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_15_s264_aia_abl_volatility_bandwidth/features/s264_aia_abl_volatility_bandwidth.csv,f21cc96bb47f05d6d1af6cd66631f3d0a512204da92268a7510fbe7e545e4dc0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aia_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_15_s264_aia_abl_volatility_bandwidth/models/s264_aia_abl_volatility_bandwidth_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_15_s264_aia_abl_volatility_bandwidth/features/s264_aia_abl_volatility_bandwidth.csv,f21cc96bb47f05d6d1af6cd66631f3d0a512204da92268a7510fbe7e545e4dc0,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_15_s264_aia_abl_volatility_bandwidth/models/s264_aia_abl_volatility_bandwidth_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_abl_volatility_bandwidth_score,b4f1c63cbd59d0f917c15e861d47ed3dfb6a0cd5ed2eb79cbe1d18705ec447ab,stage267n_abl_volatility_bandwidth_score,3,11651,11622,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_16_s264_aia_abl_trend_strength_direction,s264_aia__abl_trend_strength_direction,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_16_s264_aia_abl_trend_strength_direction/features/s264_aia_abl_trend_strength_direction.csv,7173dee539374d547b9e60350eee6f44722a3f74b3f53557ae871221eb216dec,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aia_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_16_s264_aia_abl_trend_strength_direction/models/s264_aia_abl_trend_strength_direction_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_16_s264_aia_abl_trend_strength_direction/features/s264_aia_abl_trend_strength_direction.csv,7173dee539374d547b9e60350eee6f44722a3f74b3f53557ae871221eb216dec,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_16_s264_aia_abl_trend_strength_direction/models/s264_aia_abl_trend_strength_direction_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_abl_trend_strength_direction_score,e36a8545d0e9b2d1ada5cf72a5b6f36af21c503e16dc5874f8e130d1cc104d8e,stage267n_abl_trend_strength_direction_score,3,11651,11368,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_17_s264_aia_abl_session_timing,s264_aia__abl_session_timing,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,feature_category_ablation(피처 범주 제거),abl_session_timing,session_timing,is_us_cash_open;minutes_from_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close;overnight_return,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_17_s264_aia_abl_session_timing/features/s264_aia_abl_session_timing.csv,19c5f8323ca529afb1fbe361fba32f022efc606b17618fb922b74a2dd1b51c41,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aia_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_17_s264_aia_abl_session_timing/models/s264_aia_abl_session_timing_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_17_s264_aia_abl_session_timing/features/s264_aia_abl_session_timing.csv,19c5f8323ca529afb1fbe361fba32f022efc606b17618fb922b74a2dd1b51c41,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_17_s264_aia_abl_session_timing/models/s264_aia_abl_session_timing_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_abl_session_timing_score,642c3d0ad2a939a04d4b76fabc2ff42203ebbb58d358723192e4e2465078e646,stage267n_abl_session_timing_score,3,11651,3595,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_18_s264_aia_rep_trend_strength_adx,s264_aia__rep_trend_strength_adx,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_18_s264_aia_rep_trend_strength_adx/features/s264_aia_rep_trend_strength_adx.csv,8def7b427403649f750708d3ff20e73f81a501c7dd3370a03425e82a8be7162b,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aia_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_18_s264_aia_rep_trend_strength_adx/models/s264_aia_rep_trend_strength_adx_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_18_s264_aia_rep_trend_strength_adx/features/s264_aia_rep_trend_strength_adx.csv,8def7b427403649f750708d3ff20e73f81a501c7dd3370a03425e82a8be7162b,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_18_s264_aia_rep_trend_strength_adx/models/s264_aia_rep_trend_strength_adx_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_rep_trend_strength_adx_score,d08b521ddf5c559a22d74cf894521be99be9927443cd227ea3e01d958a7edfa2,stage267n_rep_trend_strength_adx_score,3,11651,11368,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_19_s264_aia_rep_volatility_atr,s264_aia__rep_volatility_atr,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_19_s264_aia_rep_volatility_atr/features/s264_aia_rep_volatility_atr.csv,2cf8ec33b94bf6ca7bc72889c22b6dd1cebbb7a08820aa819bec315728e8607a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s264_aia_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aia/run267n_19_s264_aia_rep_volatility_atr/models/s264_aia_rep_volatility_atr_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_19_s264_aia_rep_volatility_atr/features/s264_aia_rep_volatility_atr.csv,2cf8ec33b94bf6ca7bc72889c22b6dd1cebbb7a08820aa819bec315728e8607a,OPV2/s267n/run267N_p0_ablation_replacement/s264_aia/run267n_19_s264_aia_rep_volatility_atr/models/s264_aia_rep_volatility_atr_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor;stage267n_rep_volatility_atr_score,edc24374603e4ad480588bfe82748f95d7e9b94e47e743424713a8835f4462c9,stage267n_rep_volatility_atr_score,3,11651,11622,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_20_s258_stc_abl_price_return_range,s258_stc__abl_price_return_range,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_price_return_range,price_return_range,log_return_1;log_return_3;hl_range;close_open_ratio;gap_percent;close_prev_close_ratio;return_zscore_20;hl_zscore_50;return_1_over_atr_14,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_20_s258_stc_abl_price_return_range/features/s258_stc_abl_price_return_range.csv,3954d0c7691a038fe2aa1afaacc366f4b9be690b466e1963a0089a4016920e5e,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s258_stc_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_20_s258_stc_abl_price_return_range/models/s258_stc_abl_price_return_range_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s258_stc/run267n_20_s258_stc_abl_price_return_range/features/s258_stc_abl_price_return_range.csv,3954d0c7691a038fe2aa1afaacc366f4b9be690b466e1963a0089a4016920e5e,OPV2/s267n/run267N_p0_ablation_replacement/s258_stc/run267n_20_s258_stc_abl_price_return_range/models/s258_stc_abl_price_return_range_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267n_abl_price_return_range_score,a80698cfab6658b09b72d4317f071cd6f314ba16041b34311e7efc0320730955,stage267n_abl_price_return_range_score,3,11651,11651,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_21_s258_stc_abl_volatility_bandwidth,s258_stc__abl_volatility_bandwidth,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_21_s258_stc_abl_volatility_bandwidth/features/s258_stc_abl_volatility_bandwidth.csv,ec6686d60f93ac0f3c9f8d1f587242ac123fbc6de5fcfada40556b08a8e07061,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s258_stc_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_21_s258_stc_abl_volatility_bandwidth/models/s258_stc_abl_volatility_bandwidth_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s258_stc/run267n_21_s258_stc_abl_volatility_bandwidth/features/s258_stc_abl_volatility_bandwidth.csv,ec6686d60f93ac0f3c9f8d1f587242ac123fbc6de5fcfada40556b08a8e07061,OPV2/s267n/run267N_p0_ablation_replacement/s258_stc/run267n_21_s258_stc_abl_volatility_bandwidth/models/s258_stc_abl_volatility_bandwidth_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267n_abl_volatility_bandwidth_score,b3cb484278a8d5b7338aa7d44875e4d66097e4acb402687916253b92ce56249d,stage267n_abl_volatility_bandwidth_score,3,11651,11622,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_22_s258_stc_abl_trend_strength_direction,s258_stc__abl_trend_strength_direction,s258_short_tight_control,s258_stc,stress_challenger,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",context_proxy_score_table_extension_v1,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_22_s258_stc_abl_trend_strength_direction/features/s258_stc_abl_trend_strength_direction.csv,0ee76d65950bdf06180abfb15f37edab71059f3dec6cdcb51a0e277a0ae6cd8a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/models/s258_stc_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s258_stc/run267n_22_s258_stc_abl_trend_strength_direction/models/s258_stc_abl_trend_strength_direction_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,OPV2/s267n/run267N_p0_ablation_replacement/s258_stc/run267n_22_s258_stc_abl_trend_strength_direction/features/s258_stc_abl_trend_strength_direction.csv,0ee76d65950bdf06180abfb15f37edab71059f3dec6cdcb51a0e277a0ae6cd8a,OPV2/s267n/run267N_p0_ablation_replacement/s258_stc/run267n_22_s258_stc_abl_trend_strength_direction/models/s258_stc_abl_trend_strength_direction_model.csv,8ccd93e40603631f49390554d32005821aec9b160212bcd3173fbde4dd8649fe,4,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control;stage267n_abl_trend_strength_direction_score,edaad1fce73f1037aa6040ae21efb246a5c2fe01469fcf128f3dafc86cb79b14,stage267n_abl_trend_strength_direction_score,3,11651,11368,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
